condition,step,microaction,hypothesis,judged_action,predicate,likelihood,output_belief
ungated/s00_off,78,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,78,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ungated/s00_off,111,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s00_off,142,RELEASE,d(item_4),move_to(?target=shelf_2),"at(human_0, shelf_2)",0.001,0.001
ungated/s00_on,41,GRASP,d(item_2),move_to(?target=item_2),"at(human_0, item_2)",0.001,0.001
ungated/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ungated/s00_on,78,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ungated/s20_off,22,GRASP,d(item_2),move_to(?target=item_2),"at(human_0, item_2)",0.001,0.001
ungated/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ungated/s20_off,22,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s20_off,22,GRASP,d(item_6),move_to(?target=item_6),"at(human_0, item_6)",0.001,0.001
ungated/s20_off,22,GRASP,d(item_7),move_to(?target=item_7),"at(human_0, item_7)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,54,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ungated/s20_off,89,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s20_off,89,GRASP,d(item_7),move_to(?target=item_7),"at(human_0, item_7)",0.001,0.001
ungated/s20_off,122,RELEASE,d(item_4),move_to(?target=shelf_2),"at(human_0, shelf_2)",0.001,0.001
ungated/s20_off,122,RELEASE,d(item_7),move_to(?target=shelf_2),"at(human_0, shelf_2)",0.001,0.001
ungated/s20_off,122,RELEASE,d(item_4),move_to(?target=shelf_2),"at(human_0, shelf_2)",0.001,0.001
ungated/s20_off,122,RELEASE,d(item_7),move_to(?target=shelf_2),"at(human_0, shelf_2)",0.001,0.001
ungated/s20_on,22,GRASP,d(item_2),move_to(?target=item_2),"at(human_0, item_2)",0.001,0.001
ungated/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ungated/s20_on,54,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ungated/s30_off,39,GRASP,d(item_2),move_to(?target=item_2),"at(human_0, item_2)",0.001,0.001
ungated/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ungated/s30_off,39,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s30_off,39,GRASP,d(item_6),move_to(?target=item_6),"at(human_0, item_6)",0.001,0.001
ungated/s30_off,39,GRASP,d(item_7),move_to(?target=item_7),"at(human_0, item_7)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_2),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,74,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_off,98,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s30_off,98,GRASP,d(item_6),move_to(?target=item_6),"at(human_0, item_6)",0.001,0.001
ungated/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
ungated/s30_off,121,RELEASE,d(item_4),move_to(?target=shelf_7),"at(human_0, shelf_7)",0.001,0.001
ungated/s30_off,121,RELEASE,d(item_6),move_to(?target=shelf_7),"at(human_0, shelf_7)",0.001,0.001
ungated/s30_off,121,RELEASE,d(item_4),move_to(?target=shelf_7),"at(human_0, shelf_7)",0.001,0.001
ungated/s30_off,121,RELEASE,d(item_6),move_to(?target=shelf_7),"at(human_0, shelf_7)",0.001,0.001
ungated/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ungated/s30_on,39,GRASP,d(item_7),move_to(?target=item_7),"at(human_0, item_7)",0.001,0.001
ungated/s30_on,74,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
ungated/s40_off,60,GRASP,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_off,60,GRASP,coffee,move_to(?target=coffee_machine_0),"at(human_0, coffee_machine_0)",0.001,0.001
ungated/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
ungated/s40_off,60,GRASP,d(item_4),move_to(?target=item_4),"at(human_0, item_4)",0.001,0.001
ungated/s40_off,60,GRASP,d(item_5),move_to(?target=item_5),"at(human_0, item_5)",0.001,0.001
ungated/s40_off,60,GRASP,d(item_6),move_to(?target=item_6),"at(human_0, item_6)",0.001,0.001
ungated/s40_off,60,GRASP,d(item_7),move_to(?target=item_7),"at(human_0, item_7)",0.001,0.001
ungated/s40_off,115,RELEASE,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_off,115,RELEASE,coffee,move_to(?target=coffee_machine_0),"at(human_0, coffee_machine_0)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_5),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_5),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_5),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_4),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_5),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,115,RELEASE,d(item_7),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_off,272,GRASP,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_off,272,GRASP,d(item_5),move_to(?target=item_5),"at(human_0, item_5)",0.001,0.001
ungated/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
ungated/s40_off,331,RELEASE,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_off,331,RELEASE,d(item_5),move_to(?target=shelf_6),"at(human_0, shelf_6)",0.001,0.001
ungated/s40_on,60,GRASP,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_on,60,GRASP,coffee,move_to(?target=coffee_machine_0),"at(human_0, coffee_machine_0)",0.001,0.001
ungated/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
ungated/s40_on,60,GRASP,d(item_6),move_to(?target=item_6),"at(human_0, item_6)",0.001,0.001
ungated/s40_on,115,RELEASE,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_on,115,RELEASE,coffee,move_to(?target=coffee_machine_0),"at(human_0, coffee_machine_0)",0.001,0.001
ungated/s40_on,115,RELEASE,d(item_6),move_to(?target=shelf_3),"at(human_0, shelf_3)",0.001,0.001
ungated/s40_on,272,GRASP,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ungated/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
ungated/s40_on,331,RELEASE,ac,move_to(?target=ac_switch_0),"at(human_0, ac_switch_0)",0.001,0.001
ownshelf/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.760
ownshelf/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ownshelf/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ownshelf/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ownshelf/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.363
ownshelf/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ownshelf/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
ownshelf/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
ownshelf/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
ownshelf/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
ownshelf/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
ownshelf/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
ownshelf/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
ownshelf/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
ownshelf/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
ownshelf/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
reset_origin/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.565
reset_origin/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
reset_origin/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
reset_origin/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
reset_origin/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.363
reset_origin/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.012
reset_origin/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
reset_origin/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
reset_origin/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
reset_origin/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
reset_origin/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
reset_origin/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
reset_origin/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
reset_origin/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
reset_origin/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
reset_origin/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
reset_boundary/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.565
reset_boundary/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.589
reset_boundary/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
reset_boundary/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.905
reset_boundary/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.363
reset_boundary/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.499
reset_boundary/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
reset_boundary/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.905
reset_boundary/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
reset_boundary/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.782
reset_boundary/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
reset_boundary/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.905
reset_boundary/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
reset_boundary/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.820
reset_boundary/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
reset_boundary/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.083
costdif2/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.421
costdif2/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.002
costdif2/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.934
costdif2/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.002
costdif2/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.307
costdif2/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.012
costdif2/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.911
costdif2/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.013
costdif2/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.287
costdif2/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.116
costdif2/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.523
costdif2/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.120
costdif2/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.752
costdif2/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
costdif2/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.752
costdif2/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
rawlogistic/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.448
rawlogistic/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
rawlogistic/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.553
rawlogistic/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
rawlogistic/s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.196
rawlogistic/s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
rawlogistic/s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.553
rawlogistic/s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
rawlogistic/s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.545
rawlogistic/s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
rawlogistic/s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.550
rawlogistic/s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
rawlogistic/s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.552
rawlogistic/s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
rawlogistic/s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.552
rawlogistic/s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
