condition,step,hypothesis,expected_action,origin,origin_odo
s00_off,10,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,10,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,11,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,11,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,11,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,11,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,11,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,12,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,12,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,12,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,12,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,12,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,13,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,13,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,13,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,13,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,13,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,14,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,14,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,14,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,14,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,14,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,15,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,15,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,15,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,15,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,15,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,16,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,16,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,16,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,16,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,16,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,17,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,17,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,17,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,17,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,17,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,18,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,18,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,18,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,18,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,18,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,19,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,19,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,19,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,19,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,19,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,20,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,20,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,20,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,20,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,20,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,21,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,21,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,21,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,21,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,21,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,22,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,22,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,22,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,22,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,22,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,23,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,23,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,23,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,23,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,23,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,24,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,24,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,24,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,24,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,24,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,25,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,25,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,25,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,25,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,25,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,26,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,26,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,26,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,26,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,26,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,27,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,27,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,27,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,27,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,27,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,28,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,28,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,28,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,28,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,28,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,29,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,29,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,29,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,29,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,29,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,30,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,30,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,30,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,30,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,30,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,31,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,31,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,31,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,31,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,32,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,32,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,32,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,32,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,33,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,33,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,33,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,33,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,34,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,34,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,34,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,34,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,35,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,35,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,35,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,35,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,36,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,36,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,36,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,36,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,37,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,37,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,37,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,37,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,38,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,38,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,38,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,38,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,39,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,39,d(item_3),pick_up(?item=item_3),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,39,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,39,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,40,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,40,d(item_3),pick_up(?item=item_3),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,40,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,40,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,41,d(item_2),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,41,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,41,d(item_4),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,41,d(item_6),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,42,d(item_2),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,42,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,42,d(item_4),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,42,d(item_6),"place(?item=item_3,?target=shelf_3)","(-284.09919128368006, -287.7686086797539)",800.0
s00_off,43,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,43,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,43,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,43,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,44,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,44,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,44,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,44,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,45,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,45,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,45,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,45,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,46,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,46,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,46,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,46,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,47,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,47,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,47,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,47,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,48,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,48,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,48,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,48,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,49,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,49,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,49,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,49,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,50,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,50,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,50,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,50,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,51,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,51,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,51,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,51,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,52,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,52,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,52,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,52,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,53,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,53,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,53,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,53,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,54,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,54,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,54,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,54,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,55,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,55,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,55,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,55,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,56,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,56,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,56,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,56,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,57,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,57,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,57,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,57,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,58,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,58,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,58,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,58,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,59,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,59,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,59,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,59,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,60,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,60,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,60,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,60,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,61,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,61,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,61,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,61,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,62,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,62,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,62,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,62,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,63,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,63,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,63,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,63,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,64,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,64,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,64,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,64,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,65,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,65,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,65,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,65,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,66,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,66,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,66,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,66,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,67,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,67,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,67,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,67,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,68,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,68,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,68,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,68,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,69,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,69,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,69,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,69,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,70,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,70,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,70,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,70,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,71,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,71,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,71,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,71,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,72,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,72,d(item_3),move_to(?target=kitting_table_0),"(-284.09919128368006, -287.7686086797539)",800.0
s00_off,72,d(item_4),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,72,d(item_6),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
s00_off,73,d(item_2),move_to(?target=shelf_3),"(-275.96096072599295, -269.49925720276036)",820.0
