condition,step,trigger,data_class,hypothesis_matches_actual,degenerate,candidate,is_current_task,is_winner,cost,window_steps,min_d,argmin_t,robot_action_at_min,human_action_at_min,s,steps_below,n_intervals,first_step,last_step,intervals,robot_phase_steps,human_phase_steps
s00_off,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,100,105,1,328.0,432.0,328-432,approach_shelf:105,approach_shelf:105
s00_off,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,10,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,25,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,50,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,100,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,10,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,25,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,50,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,100,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,10,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,25,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,50,0,0,,,,,
s00_off,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,100,0,0,,,,,
s00_off,95,no_current_task,counterfactual,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,95,no_current_task,counterfactual,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,95,no_current_task,counterfactual,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,95,no_current_task,counterfactual,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,111,theta_crossed,primary,True,False,item_4,True,True,1106,589,140.68,131,approach_shelf,carry_to_table,10,0,0,,,,,
s00_off,111,theta_crossed,primary,True,False,item_4,True,True,1106,589,140.68,131,approach_shelf,carry_to_table,25,0,0,,,,,
s00_off,111,theta_crossed,primary,True,False,item_4,True,True,1106,589,140.68,131,approach_shelf,carry_to_table,50,0,0,,,,,
s00_off,111,theta_crossed,primary,True,False,item_4,True,True,1106,589,140.68,131,approach_shelf,carry_to_table,100,0,0,,,,,
s00_off,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,10,0,0,,,,,
s00_off,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,25,0,0,,,,,
s00_off,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,50,0,0,,,,,
s00_off,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,100,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,10,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,25,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,50,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,100,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,10,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,25,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,50,19,1,371.0,389.0,371-389,approach_shelf:19,approach_shelf:19
s00_on,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,100,105,1,328.0,432.0,328-432,approach_shelf:105,approach_shelf:105
s00_on,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,10,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,25,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,50,0,0,,,,,
s00_on,7,task_committed,counterfactual,True,False,item_6,False,False,817,817,256.5,405,carry_to_table,approach_shelf,100,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,10,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,25,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,50,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_4,False,False,1432,858,352.12,422,approach_shelf,carry_to_table,100,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,10,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,25,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,50,0,0,,,,,
s00_on,33,no_current_task,counterfactual,True,False,item_6,False,True,1185,858,130.42,419,approach_shelf,carry_to_table,100,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,10,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,25,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,50,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_6,True,True,1025,700,136.39,259,approach_shelf,carry_to_table,100,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,10,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,25,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,50,0,0,,,,,
s00_on,41,theta_crossed,primary,True,False,item_4,False,False,1387,700,226.31,282,approach_shelf,carry_to_table,100,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,10,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,25,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,50,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_6,True,True,582,280,301.67,279,carry_to_table,placement,100,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,10,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,25,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,50,0,0,,,,,
s00_on,63,task_committed,primary,True,False,item_4,False,False,1468,280,326.65,0,return_held_item,carry_to_table,100,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_6,True,True,222,222,154.79,89,carry_to_table,approach_shelf,10,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_6,True,True,222,222,154.79,89,carry_to_table,approach_shelf,25,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_6,True,True,222,222,154.79,89,carry_to_table,approach_shelf,50,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_6,True,True,222,222,154.79,89,carry_to_table,approach_shelf,100,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_4,False,False,1828,1179,203.16,0,return_held_item,approach_shelf,10,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_4,False,False,1828,1179,203.16,0,return_held_item,approach_shelf,25,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_4,False,False,1828,1179,203.16,0,return_held_item,approach_shelf,50,0,0,,,,,
s00_on,81,theta_crossed,primary,True,False,item_4,False,False,1828,1179,203.16,0,return_held_item,approach_shelf,100,0,0,,,,,
s00_on,95,no_current_task,primary,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,10,0,0,,,,,
s00_on,95,no_current_task,primary,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,25,0,0,,,,,
s00_on,95,no_current_task,primary,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,50,0,0,,,,,
s00_on,95,no_current_task,primary,True,False,item_4,False,True,1426,899,139.75,446,approach_shelf,carry_to_table,100,0,0,,,,,
s00_on,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,10,0,0,,,,,
s00_on,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,25,0,0,,,,,
s00_on,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,50,0,0,,,,,
s00_on,131,task_committed,primary,True,False,item_4,True,True,689,209,480.02,208,carry_to_table,placement,100,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1692,303.79,1691,carry_to_table,placement,10,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1692,303.79,1691,carry_to_table,placement,25,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1692,303.79,1691,carry_to_table,placement,50,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1692,303.79,1691,carry_to_table,placement,100,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1692,126.78,939,approach_shelf,carry_to_table,10,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1692,126.78,939,approach_shelf,carry_to_table,25,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1692,126.78,939,approach_shelf,carry_to_table,50,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1692,126.78,939,approach_shelf,carry_to_table,100,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1646,45.42,1645,placement,carry_to_table,10,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1646,45.42,1645,placement,carry_to_table,25,0,0,,,,,
s10_off,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1646,45.42,1645,placement,carry_to_table,50,7,1,1639.0,1645.0,1639-1645,carry_to_table:6;placement:1,carry_to_table:7
s10_off,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1646,45.42,1645,placement,carry_to_table,100,57,1,1589.0,1645.0,1589-1645,carry_to_table:56;placement:1,carry_to_table:57
s10_off,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,10,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,25,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,50,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,100,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,10,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,25,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,50,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,100,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,10,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,25,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,50,0,0,,,,,
s10_off,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,100,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1379,173.12,0,approach_shelf,approach_shelf,10,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1379,173.12,0,approach_shelf,approach_shelf,25,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1379,173.12,0,approach_shelf,approach_shelf,50,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1379,173.12,0,approach_shelf,approach_shelf,100,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1379,169.3,38,approach_shelf,approach_shelf,10,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1379,169.3,38,approach_shelf,approach_shelf,25,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1379,169.3,38,approach_shelf,approach_shelf,50,0,0,,,,,
s10_off,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1379,169.3,38,approach_shelf,approach_shelf,100,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_1,True,True,1110,1110,168.1,0,carry_to_table,approach_shelf,10,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_1,True,True,1110,1110,168.1,0,carry_to_table,approach_shelf,25,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_1,True,True,1110,1110,168.1,0,carry_to_table,approach_shelf,50,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_1,True,True,1110,1110,168.1,0,carry_to_table,approach_shelf,100,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_5,False,False,3198,1420,168.1,0,return_held_item,approach_shelf,10,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_5,False,False,3198,1420,168.1,0,return_held_item,approach_shelf,25,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_5,False,False,3198,1420,168.1,0,return_held_item,approach_shelf,50,0,0,,,,,
s10_off,142,task_committed,counterfactual,False,False,item_5,False,False,3198,1420,168.1,0,return_held_item,approach_shelf,100,0,0,,,,,
s10_off,200,no_current_task,counterfactual,False,False,item_5,False,True,2448,1278,661.3,1,approach_shelf,approach_shelf,10,0,0,,,,,
s10_off,200,no_current_task,counterfactual,False,False,item_5,False,True,2448,1278,661.3,1,approach_shelf,approach_shelf,25,0,0,,,,,
s10_off,200,no_current_task,counterfactual,False,False,item_5,False,True,2448,1278,661.3,1,approach_shelf,approach_shelf,50,0,0,,,,,
s10_off,200,no_current_task,counterfactual,False,False,item_5,False,True,2448,1278,661.3,1,approach_shelf,approach_shelf,100,0,0,,,,,
s10_off,257,theta_crossed,primary,True,False,item_5,True,True,1308,1309,24.49,1308,placement,carry_to_table,10,0,0,,,,,
s10_off,257,theta_crossed,primary,True,False,item_5,True,True,1308,1309,24.49,1308,placement,carry_to_table,25,1,1,1308.0,1308.0,1308-1308,placement:1,carry_to_table:1
s10_off,257,theta_crossed,primary,True,False,item_5,True,True,1308,1309,24.49,1308,placement,carry_to_table,50,187,1,1122.0,1308.0,1122-1308,carry_to_table:186;placement:1,carry_to_table:187
s10_off,257,theta_crossed,primary,True,False,item_5,True,True,1308,1309,24.49,1308,placement,carry_to_table,100,433,1,876.0,1308.0,876-1308,carry_to_table:432;placement:1,carry_to_table:433
s10_off,262,task_committed,primary,True,False,item_5,True,True,1190,1190,63.49,1189,placement,carry_to_table,10,0,0,,,,,
s10_off,262,task_committed,primary,True,False,item_5,True,True,1190,1190,63.49,1189,placement,carry_to_table,25,0,0,,,,,
s10_off,262,task_committed,primary,True,False,item_5,True,True,1190,1190,63.49,1189,placement,carry_to_table,50,0,0,,,,,
s10_off,262,task_committed,primary,True,False,item_5,True,True,1190,1190,63.49,1189,placement,carry_to_table,100,325,1,865.0,1189.0,865-1189,carry_to_table:324;placement:1,carry_to_table:325
s10_on,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1084,788.6,0,approach_shelf,approach_shelf,10,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1084,788.6,0,approach_shelf,approach_shelf,25,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1084,788.6,0,approach_shelf,approach_shelf,50,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_5,False,False,1996,1084,788.6,0,approach_shelf,approach_shelf,100,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1084,55.34,596,approach_shelf,carry_to_table,10,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1084,55.34,596,approach_shelf,carry_to_table,25,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1084,55.34,596,approach_shelf,carry_to_table,50,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_1,False,False,2457,1084,55.34,596,approach_shelf,carry_to_table,100,89,1,552.0,640.0,552-640,approach_shelf:89,carry_to_table:89
s10_on,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1084,561.8,1083,carry_to_table,placement,10,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1084,561.8,1083,carry_to_table,placement,25,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1084,561.8,1083,carry_to_table,placement,50,0,0,,,,,
s10_on,0,no_current_task,counterfactual,False,False,item_7,False,True,1646,1084,561.8,1083,carry_to_table,placement,100,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,10,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,25,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,50,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_7,True,True,971,797,173.78,796,carry_to_table,placement,100,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,10,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,25,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,50,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_5,False,False,2029,797,1209.73,795,approach_shelf,carry_to_table,100,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,10,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,25,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,50,0,0,,,,,
s10_on,34,task_committed,counterfactual,True,False,item_1,False,False,2404,797,751.06,545,approach_shelf,carry_to_table,100,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1659,173.12,0,approach_shelf,approach_shelf,10,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1659,173.12,0,approach_shelf,approach_shelf,25,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1659,173.12,0,approach_shelf,approach_shelf,50,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_5,False,False,2414,1659,173.12,0,approach_shelf,approach_shelf,100,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1659,147.14,175,approach_shelf,approach_shelf,10,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1659,147.14,175,approach_shelf,approach_shelf,25,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1659,147.14,175,approach_shelf,approach_shelf,50,0,0,,,,,
s10_on,85,no_current_task,counterfactual,False,False,item_1,False,True,2260,1659,147.14,175,approach_shelf,approach_shelf,100,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_1,True,True,1820,1380,89.56,159,approach_shelf,approach_shelf,10,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_1,True,True,1820,1380,89.56,159,approach_shelf,approach_shelf,25,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_1,True,True,1820,1380,89.56,159,approach_shelf,approach_shelf,50,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_1,True,True,1820,1380,89.56,159,approach_shelf,approach_shelf,100,85,1,117.0,201.0,117-201,approach_shelf:85,approach_shelf:85
s10_on,107,theta_crossed,primary,False,False,item_5,False,False,2655,1380,189.08,0,approach_shelf,approach_shelf,10,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_5,False,False,2655,1380,189.08,0,approach_shelf,approach_shelf,25,0,0,,,,,
s10_on,107,theta_crossed,primary,False,False,item_5,False,False,2655,1380,189.08,0,approach_shelf,approach_shelf,50,0,0,,,,,
