ticks: base 379 new 379  eps=0.0005
  t=138 base=unknown(0.993) new=coffee(0.805)  human: coffee_break/move_to/step
  t=139 base=unknown(0.993) new=coffee(0.818)  human: coffee_break/move_to/step
  t=140 base=unknown(0.993) new=coffee(0.830)  human: coffee_break/move_to/step
  t=141 base=unknown(0.993) new=coffee(0.841)  human: coffee_break/move_to/step
  t=142 base=unknown(0.993) new=coffee(0.850)  human: coffee_break/move_to/step
  t=143 base=unknown(0.993) new=coffee(0.858)  human: coffee_break/move_to/step
  t=144 base=unknown(0.993) new=coffee(0.865)  human: coffee_break/move_to/step
  t=145 base=unknown(0.993) new=coffee(0.872)  human: coffee_break/move_to/step
  t=146 base=unknown(0.993) new=coffee(0.877)  human: coffee_break/move_to/step
  t=147 base=unknown(0.993) new=coffee(0.882)  human: coffee_break/move_to/step
  t=148 base=unknown(0.993) new=coffee(0.886)  human: coffee_break/move_to/step
  t=149 base=unknown(0.993) new=coffee(0.889)  human: coffee_break/move_to/step
  t=150 base=unknown(0.993) new=coffee(0.892)  human: coffee_break/move_to/step
  t=151 base=unknown(0.993) new=coffee(0.894)  human: coffee_break/move_to/step
  t=152 base=unknown(0.993) new=coffee(0.896)  human: coffee_break/move_to/step
  t=153 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/move_to/step
  t=154 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/move_to/None
  t=155 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=156 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=157 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=158 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=159 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=160 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=161 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=162 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=163 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=164 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=165 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=166 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=167 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=168 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=169 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=170 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=171 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=172 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=173 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=174 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=175 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=176 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=177 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=178 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=179 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=180 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=181 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=182 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=183 base=unknown(0.993) new=coffee(0.898)  human: coffee_break/wait_at/stand
  t=184 base=unknown(0.993) new=ac(0.474)  human: coffee_break/wait_at/stand
  t=185 base=unknown(0.993) new=ac(0.474)  human: coffee_break/wait_at/None
  t=186 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=187 base=unknown(0.993) new=d(item_6)(0.485)  human: ac_activation/move_to/step
  t=188 base=unknown(0.993) new=d(item_6)(0.496)  human: ac_activation/move_to/step
  t=189 base=unknown(0.993) new=d(item_6)(0.509)  human: ac_activation/move_to/step
  t=190 base=unknown(0.993) new=d(item_6)(0.522)  human: ac_activation/move_to/step
  t=191 base=unknown(0.993) new=d(item_6)(0.536)  human: ac_activation/move_to/step
  t=192 base=unknown(0.993) new=d(item_6)(0.552)  human: ac_activation/move_to/step
  t=193 base=unknown(0.993) new=d(item_6)(0.568)  human: ac_activation/move_to/step
  t=194 base=unknown(0.993) new=d(item_6)(0.585)  human: ac_activation/move_to/step
  t=195 base=unknown(0.993) new=d(item_6)(0.603)  human: ac_activation/move_to/step
  t=196 base=unknown(0.993) new=d(item_6)(0.621)  human: ac_activation/move_to/step
  t=197 base=unknown(0.993) new=d(item_6)(0.640)  human: ac_activation/move_to/step
  t=198 base=unknown(0.993) new=d(item_6)(0.660)  human: ac_activation/move_to/step
  t=199 base=unknown(0.993) new=d(item_6)(0.679)  human: ac_activation/move_to/step
  t=200 base=unknown(0.993) new=d(item_6)(0.699)  human: ac_activation/move_to/step
  t=201 base=unknown(0.993) new=d(item_6)(0.719)  human: ac_activation/move_to/step
  t=202 base=unknown(0.993) new=d(item_6)(0.738)  human: ac_activation/move_to/step
  t=203 base=unknown(0.993) new=d(item_6)(0.756)  human: ac_activation/move_to/step
  t=204 base=unknown(0.993) new=d(item_6)(0.773)  human: ac_activation/move_to/step
  t=205 base=unknown(0.993) new=d(item_6)(0.790)  human: ac_activation/move_to/step
  t=206 base=unknown(0.993) new=d(item_6)(0.790)  human: ac_activation/move_to/None
  t=207 base=unknown(0.993) new=d(item_6)(0.790)  human: ac_activation/wait_at/stand
  t=208 base=unknown(0.993) new=d(item_6)(0.790)  human: ac_activation/wait_at/None
  t=209 base=unknown(0.993) new=d(item_6)(0.790)  human: None/None/None
  t=210 base=unknown(0.993) new=d(item_6)(0.799)  human: ac_activation/move_to/step
  t=211 base=unknown(0.993) new=d(item_6)(0.800)  human: ac_activation/move_to/step
  t=212 base=unknown(0.993) new=d(item_6)(0.792)  human: ac_activation/move_to/step
  t=213 base=unknown(0.993) new=d(item_6)(0.775)  human: ac_activation/move_to/step
  t=214 base=unknown(0.993) new=d(item_6)(0.748)  human: ac_activation/move_to/step
  t=215 base=unknown(0.993) new=d(item_6)(0.711)  human: ac_activation/move_to/step
  t=216 base=unknown(0.993) new=d(item_6)(0.663)  human: ac_activation/move_to/step
  t=217 base=unknown(0.993) new=d(item_6)(0.605)  human: ac_activation/move_to/step
  t=218 base=unknown(0.993) new=d(item_6)(0.538)  human: ac_activation/move_to/step
  t=331 base=unknown(0.993) new=ac(0.904)  human: deliver_item/place/release
  t=332 base=unknown(0.993) new=ac(0.904)  human: deliver_item/place/None
  t=333 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=334 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=335 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=336 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=337 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=338 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=339 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=340 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=341 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=342 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=343 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=344 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=345 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=346 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=347 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=348 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=349 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=350 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=351 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=352 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=353 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=354 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=355 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=356 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=357 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=358 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=359 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=360 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=361 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=362 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=363 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=364 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=365 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=366 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=367 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=368 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=369 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=370 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=371 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=372 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=373 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=374 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=375 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=376 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=377 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=378 base=unknown(0.993) new=ac(0.904)  human: None/None/None

== changed-key episodes (|new-base| > eps) ==
  t=0-114: identical
  t=115-139 human@start deliver_item/place/release:
      ac           max Δ=+0.320 at t=115 (0.001 → 0.321)
      coffee       max Δ=+0.817 at t=139 (0.001 → 0.818)
      d(item_6)    max Δ=+0.327 at t=121 (0.001 → 0.328)
      unknown      max Δ=-0.961 at t=115 (0.993 → 0.032)
  t=140-183 human@start coffee_break/move_to/step:
      coffee       max Δ=+0.897 at t=153 (0.001 → 0.898)
      d(item_6)    max Δ=+0.081 at t=140 (0.001 → 0.082)
      unknown      max Δ=-0.910 at t=140 (0.993 → 0.083)
  t=184-232 human@start coffee_break/wait_at/stand:
      ac           max Δ=+0.473 at t=184 (0.001 → 0.474)
      d(item_6)    max Δ=+0.799 at t=211 (0.001 → 0.800)
      unknown      max Δ=-0.946 at t=184 (0.993 → 0.047)
  t=233-330 human@start deliver_item/move_to/step:
      d(item_6)    max Δ=+0.082 at t=233 (0.001 → 0.083)
      unknown      max Δ=-0.082 at t=233 (0.993 → 0.911)
  t=331-378 human@start deliver_item/place/release:
      ac           max Δ=+0.903 at t=331 (0.001 → 0.904)
      unknown      max Δ=-0.903 at t=331 (0.993 → 0.090)

== meta lines ==
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=0 min_dist=None
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=0 min_dist=None
  +[meta-proj] confidence=0.757 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=10 feasible=True conflicts=194 min_dist=361.4613995694038
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=104 feasible=True conflicts=398 min_dist=361.4613995694038
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=134 feasible=True conflicts=398 min_dist=361.4613995694038
  +[meta] step=135 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.882 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=159 min_dist=611.6249570888626
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=159 min_dist=611.6249570888626
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.603 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.756 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=40 feasible=True conflicts=798 min_dist=662.2356437586141
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=120 feasible=True conflicts=1857 min_dist=59.49635359079646
  +[meta] step=203 trigger=theta_crossed winner=deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.791 theta=0.750 projection=none(unresolved)
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=20 feasible=True conflicts=0 min_dist=None
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=140 feasible=True conflicts=0 min_dist=None
  +[meta] step=223 trigger=theta_crossed winner=deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.911 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.911 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
