condition,step,hypothesis,odds_accumulated,odds_recognizer,abs_log_error
s00_off,6,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",5.217033e+00,5.217033e+00,0.00e+00
s00_off,6,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,6,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",7.242977e+00,7.242977e+00,0.00e+00
s00_off,6,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.683010e+00,9.683010e+00,0.00e+00
s00_off,6,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",8.876610e+00,8.876610e+00,0.00e+00
s00_off,7,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",4.465958e+00,4.465958e+00,2.22e-16
s00_off,7,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,7,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",6.760147e+00,6.760147e+00,2.22e-16
s00_off,7,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.626964e+00,9.626964e+00,0.00e+00
s00_off,7,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",8.614887e+00,8.614887e+00,0.00e+00
s00_off,8,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.749939e+00,3.749939e+00,0.00e+00
s00_off,8,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,8,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",6.260102e+00,6.260102e+00,0.00e+00
s00_off,8,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.567521e+00,9.567521e+00,4.44e-16
s00_off,8,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",8.323575e+00,8.323575e+00,0.00e+00
s00_off,9,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.087616e+00,3.087616e+00,0.00e+00
s00_off,9,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,9,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",5.746864e+00,5.746864e+00,0.00e+00
s00_off,9,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.504376e+00,9.504376e+00,0.00e+00
s00_off,9,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",7.991482e+00,7.991482e+00,0.00e+00
s00_off,10,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.493498e+00,2.493498e+00,2.22e-16
s00_off,10,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,10,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",5.225573e+00,5.225573e+00,0.00e+00
s00_off,10,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.437192e+00,9.437192e+00,0.00e+00
s00_off,10,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",7.612876e+00,7.612876e+00,0.00e+00
s00_off,11,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.976469e+00,1.976469e+00,0.00e+00
s00_off,11,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,11,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.702418e+00,4.702418e+00,0.00e+00
s00_off,11,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.365590e+00,9.365590e+00,0.00e+00
s00_off,11,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",7.181963e+00,7.181963e+00,0.00e+00
s00_off,12,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.539390e+00,1.539390e+00,0.00e+00
s00_off,12,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,12,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.184447e+00,4.184447e+00,0.00e+00
s00_off,12,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.289147e+00,9.289147e+00,4.44e-16
s00_off,12,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",6.693537e+00,6.693537e+00,2.22e-16
s00_off,13,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.179748e+00,1.179748e+00,0.00e+00
s00_off,13,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,13,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",3.679247e+00,3.679247e+00,0.00e+00
s00_off,13,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.207387e+00,9.207387e+00,0.00e+00
s00_off,13,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",6.144107e+00,6.144107e+00,0.00e+00
s00_off,14,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",8.910095e-01,8.910095e-01,1.25e-16
s00_off,14,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,14,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",3.194497e+00,3.194497e+00,0.00e+00
s00_off,14,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.119778e+00,9.119778e+00,4.44e-16
s00_off,14,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",5.533609e+00,5.533609e+00,2.22e-16
s00_off,15,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",6.642280e-01,6.642280e-01,0.00e+00
s00_off,15,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,15,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.737450e+00,2.737450e+00,0.00e+00
s00_off,15,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.025716e+00,9.025716e+00,0.00e+00
s00_off,15,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",4.867689e+00,4.867689e+00,0.00e+00
s00_off,16,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",4.895103e-01,4.895103e-01,0.00e+00
s00_off,16,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,16,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.314397e+00,2.314397e+00,4.44e-16
s00_off,16,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.924525e+00,8.924525e+00,0.00e+00
s00_off,16,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",4.160186e+00,4.160186e+00,2.22e-16
s00_off,17,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.571397e-01,3.571397e-01,2.22e-16
s00_off,17,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,17,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.930207e+00,1.930207e+00,0.00e+00
s00_off,17,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.815439e+00,8.815439e+00,0.00e+00
s00_off,17,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.434781e+00,3.434781e+00,0.00e+00
s00_off,18,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.582898e-01,2.582898e-01,0.00e+00
s00_off,18,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,18,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.588005e+00,1.588005e+00,1.67e-16
s00_off,18,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.697593e+00,8.697593e+00,0.00e+00
s00_off,18,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.724245e+00,2.724245e+00,0.00e+00
s00_off,19,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.853809e-01,1.853809e-01,2.22e-16
s00_off,19,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,19,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.289045e+00,1.289045e+00,0.00e+00
s00_off,19,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.570010e+00,8.570010e+00,0.00e+00
s00_off,19,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.065855e+00,2.065855e+00,0.00e+00
s00_off,20,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.321727e-01,1.321727e-01,0.00e+00
s00_off,20,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,20,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.032787e+00,1.032787e+00,0.00e+00
s00_off,20,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.431586e+00,8.431586e+00,4.44e-16
s00_off,20,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.493335e+00,1.493335e+00,1.67e-16
s00_off,21,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",9.369319e-02,9.369319e-02,0.00e+00
s00_off,21,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,21,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.171423e-01,8.171423e-01,1.11e-16
s00_off,21,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.281079e+00,8.281079e+00,4.44e-16
s00_off,21,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.028343e+00,1.028343e+00,0.00e+00
s00_off,22,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",6.608159e-02,6.608159e-02,0.00e+00
s00_off,22,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,22,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",6.388420e-01,6.388420e-01,0.00e+00
s00_off,22,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",8.117091e+00,8.117091e+00,0.00e+00
s00_off,22,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",6.758357e-01,6.758357e-01,1.67e-16
s00_off,23,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",4.640120e-02,4.640120e-02,0.00e+00
s00_off,23,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,23,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.938502e-01,4.938502e-01,0.00e+00
s00_off,23,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.938059e+00,7.938059e+00,0.00e+00
s00_off,23,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",4.255662e-01,4.255662e-01,0.00e+00
s00_off,24,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.245520e-02,3.245520e-02,4.44e-16
s00_off,24,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,24,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",3.777628e-01,3.777628e-01,0.00e+00
s00_off,24,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.742250e+00,7.742250e+00,0.00e+00
s00_off,24,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.581011e-01,2.581011e-01,0.00e+00
s00_off,25,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.262258e-02,2.262258e-02,0.00e+00
s00_off,25,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,25,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.861464e-01,2.861464e-01,0.00e+00
s00_off,25,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.527762e+00,7.527762e+00,0.00e+00
s00_off,25,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.516395e-01,1.516395e-01,0.00e+00
s00_off,26,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.572066e-02,1.572066e-02,0.00e+00
s00_off,26,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,26,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.147946e-01,2.147946e-01,0.00e+00
s00_off,26,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.292545e+00,7.292545e+00,2.22e-16
s00_off,26,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",8.679600e-02,8.679600e-02,0.00e+00
s00_off,27,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.089469e-02,1.089469e-02,0.00e+00
s00_off,27,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,27,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.598951e-01,1.598951e-01,0.00e+00
s00_off,27,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.034449e+00,7.034449e+00,0.00e+00
s00_off,27,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",4.865447e-02,4.865447e-02,4.44e-16
s00_off,28,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",7.531808e-03,7.531808e-03,0.00e+00
s00_off,28,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,28,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.181188e-01,1.181188e-01,0.00e+00
s00_off,28,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",6.751303e+00,6.751303e+00,2.22e-16
s00_off,28,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.683451e-02,2.683451e-02,0.00e+00
s00_off,29,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",5.195551e-03,5.195551e-03,0.00e+00
s00_off,29,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,29,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.664687e-02,8.664687e-02,0.00e+00
s00_off,29,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",6.441057e+00,6.441057e+00,2.22e-16
s00_off,29,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.462044e-02,1.462044e-02,0.00e+00
s00_off,30,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.576896e-03,3.576896e-03,0.00e+00
s00_off,30,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,30,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",6.315307e-02,6.315307e-02,0.00e+00
s00_off,30,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",6.102000e+00,6.102000e+00,2.22e-16
s00_off,30,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.026631e-02,1.026631e-02,0.00e+00
s00_off,31,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.458134e-03,2.458134e-03,0.00e+00
s00_off,31,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,31,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.575951e-02,4.575951e-02,0.00e+00
s00_off,31,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",5.733068e+00,5.733068e+00,2.22e-16
s00_off,32,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.686560e-03,1.686560e-03,0.00e+00
s00_off,32,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,32,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",3.297853e-02,3.297853e-02,0.00e+00
s00_off,32,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",5.334257e+00,5.334257e+00,0.00e+00
s00_off,33,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.155470e-03,1.155470e-03,8.88e-16
s00_off,33,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,33,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.365064e-02,2.365064e-02,0.00e+00
s00_off,33,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",4.907125e+00,4.907125e+00,0.00e+00
s00_off,34,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",7.905564e-04,7.905564e-04,0.00e+00
s00_off,34,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,34,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.688484e-02,1.688484e-02,0.00e+00
s00_off,34,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",4.455325e+00,4.455325e+00,2.22e-16
s00_off,35,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",5.402245e-04,5.402245e-04,0.00e+00
s00_off,35,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,35,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.200488e-02,1.200488e-02,0.00e+00
s00_off,35,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",3.985040e+00,3.985040e+00,0.00e+00
s00_off,36,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.687464e-04,3.687464e-04,0.00e+00
s00_off,36,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,36,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.503034e-03,8.503034e-03,0.00e+00
s00_off,36,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",3.505150e+00,3.505150e+00,2.22e-16
s00_off,37,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.514394e-04,2.514394e-04,0.00e+00
s00_off,37,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,4.44e-16
s00_off,37,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",6.001792e-03,6.001792e-03,0.00e+00
s00_off,37,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",3.026921e+00,3.026921e+00,0.00e+00
s00_off,38,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.712880e-04,1.712880e-04,0.00e+00
s00_off,38,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,38,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.222806e-03,4.222806e-03,0.00e+00
s00_off,38,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.563108e+00,2.563108e+00,0.00e+00
s00_off,39,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.165844e-04,1.165844e-04,0.00e+00
s00_off,39,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+02,1.000000e+02,0.00e+00
s00_off,39,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.962415e-03,2.962415e-03,0.00e+00
s00_off,39,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.126513e+00,2.126513e+00,2.22e-16
s00_off,40,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.165844e-04,1.165844e-04,0.00e+00
s00_off,40,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+02,1.000000e+02,0.00e+00
s00_off,40,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.962415e-03,2.962415e-03,8.88e-16
s00_off,40,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.126513e+00,2.126513e+00,0.00e+00
s00_off,41,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.165844e-03,1.165844e-03,0.00e+00
s00_off,41,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+02,1.000000e+02,0.00e+00
s00_off,41,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.962415e-02,2.962415e-02,0.00e+00
s00_off,41,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.126513e+01,2.126513e+01,0.00e+00
s00_off,42,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.165844e-03,1.165844e-03,0.00e+00
s00_off,42,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+02,1.000000e+02,0.00e+00
s00_off,42,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.962415e-02,2.962415e-02,0.00e+00
s00_off,42,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.126513e+01,2.126513e+01,0.00e+00
s00_off,43,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.165844e-03,1.165844e-03,0.00e+00
s00_off,43,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,8.88e-16
s00_off,43,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.962415e-02,2.962415e-02,0.00e+00
s00_off,43,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",2.126513e+01,2.126513e+01,4.44e-16
s00_off,44,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",9.380139e-03,9.380139e-03,8.88e-16
s00_off,44,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,8.88e-16
s00_off,44,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",2.383498e-01,2.383498e-01,2.22e-16
s00_off,44,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",1.710948e+02,1.710948e+02,8.88e-16
s00_off,45,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",7.259145e-03,7.259145e-03,0.00e+00
s00_off,45,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,0.00e+00
s00_off,45,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.844552e-01,1.844552e-01,2.22e-16
s00_off,45,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",1.324076e+02,1.324076e+02,0.00e+00
s00_off,46,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",5.427464e-03,5.427464e-03,8.88e-16
s00_off,46,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,8.88e-16
s00_off,46,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.379121e-01,1.379121e-01,0.00e+00
s00_off,46,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.899757e+01,9.899757e+01,8.88e-16
s00_off,47,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",3.943117e-03,3.943117e-03,0.00e+00
s00_off,47,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,8.88e-16
s00_off,47,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",1.001948e-01,1.001948e-01,0.00e+00
s00_off,47,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",7.192290e+01,7.192290e+01,0.00e+00
s00_off,48,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",2.800593e-03,2.800593e-03,8.88e-16
s00_off,48,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,0.00e+00
s00_off,48,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",7.116320e-02,7.116320e-02,0.00e+00
s00_off,48,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",5.108314e+01,5.108314e+01,4.44e-16
s00_off,49,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.955446e-03,1.955446e-03,8.88e-16
s00_off,49,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+03,1.000000e+03,8.88e-16
s00_off,49,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",4.968797e-02,4.968797e-02,0.00e+00
s00_off,49,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",3.566756e+01,3.566756e+01,4.44e-16
s00_off,50,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",1.348458e-03,1.348458e-03,0.00e+00
